	score	emotion	sub	feature_set
0	0.10856706971294494	anger	01	vertexPCA_type-static
1	0.00924255884207171	disgust	01	vertexPCA_type-static
2	0.022170472094405373	fear	01	vertexPCA_type-static
3	0.2349469558582203	happiness	01	vertexPCA_type-static
4	0.057412667293025285	sadness	01	vertexPCA_type-static
5	-0.01100933503363235	surprise	01	vertexPCA_type-static
0	0.04572741985097263	anger	02	vertexPCA_type-static
1	0.000780835580147865	disgust	02	vertexPCA_type-static
2	0.027744188238216227	fear	02	vertexPCA_type-static
3	0.048049242879631505	happiness	02	vertexPCA_type-static
4	0.011700899411452262	sadness	02	vertexPCA_type-static
5	0.048421187358123716	surprise	02	vertexPCA_type-static
0	0.07405080870139524	anger	03	vertexPCA_type-static
1	0.02707221502629744	disgust	03	vertexPCA_type-static
2	-0.03986376562541968	fear	03	vertexPCA_type-static
3	0.06505426144708405	happiness	03	vertexPCA_type-static
4	0.039891571618942634	sadness	03	vertexPCA_type-static
5	0.011290524536834703	surprise	03	vertexPCA_type-static
0	0.16804439471879898	anger	04	vertexPCA_type-static
1	0.04811256318233008	disgust	04	vertexPCA_type-static
2	0.029684659795614483	fear	04	vertexPCA_type-static
3	0.055491052498284066	happiness	04	vertexPCA_type-static
4	0.08005440552009532	sadness	04	vertexPCA_type-static
5	-0.022719043023605372	surprise	04	vertexPCA_type-static
0	0.11541129162512953	anger	05	vertexPCA_type-static
1	0.019408042158020073	disgust	05	vertexPCA_type-static
2	0.026091822733327292	fear	05	vertexPCA_type-static
3	0.04721742763344657	happiness	05	vertexPCA_type-static
4	0.03949343064280656	sadness	05	vertexPCA_type-static
5	0.007366184913390231	surprise	05	vertexPCA_type-static
0	0.2116737189460031	anger	06	vertexPCA_type-static
1	0.04342128824240091	disgust	06	vertexPCA_type-static
2	0.10136763785233786	fear	06	vertexPCA_type-static
3	0.16966664754425992	happiness	06	vertexPCA_type-static
4	0.11784637729416733	sadness	06	vertexPCA_type-static
5	0.009479669364587473	surprise	06	vertexPCA_type-static
0	0.1715712714001121	anger	07	vertexPCA_type-static
1	0.029203507673664475	disgust	07	vertexPCA_type-static
2	0.08680715628044236	fear	07	vertexPCA_type-static
3	0.1346434333256767	happiness	07	vertexPCA_type-static
4	0.0461567333892426	sadness	07	vertexPCA_type-static
5	0.06858129598067111	surprise	07	vertexPCA_type-static
0	0.07817821300875397	anger	08	vertexPCA_type-static
1	0.019685339590487634	disgust	08	vertexPCA_type-static
2	0.04844896572619349	fear	08	vertexPCA_type-static
3	0.09096234438439946	happiness	08	vertexPCA_type-static
4	0.012772750568332079	sadness	08	vertexPCA_type-static
5	0.013936661544605416	surprise	08	vertexPCA_type-static
0	0.16647542770275037	anger	09	vertexPCA_type-static
1	0.049131245230684364	disgust	09	vertexPCA_type-static
2	0.06764892437920408	fear	09	vertexPCA_type-static
3	0.11604493996439405	happiness	09	vertexPCA_type-static
4	0.03808731450307976	sadness	09	vertexPCA_type-static
5	-0.012371961457669228	surprise	09	vertexPCA_type-static
0	0.18396681241946672	anger	10	vertexPCA_type-static
1	0.048211825831301326	disgust	10	vertexPCA_type-static
2	0.013519185897600103	fear	10	vertexPCA_type-static
3	0.13056777346407683	happiness	10	vertexPCA_type-static
4	0.08123893437467308	sadness	10	vertexPCA_type-static
5	0.03765819634469935	surprise	10	vertexPCA_type-static
0	0.20362058228625232	anger	11	vertexPCA_type-static
1	0.009810610512637551	disgust	11	vertexPCA_type-static
2	0.000502044934405399	fear	11	vertexPCA_type-static
3	-0.007117208170814909	happiness	11	vertexPCA_type-static
4	0.0064143252269133364	sadness	11	vertexPCA_type-static
5	-0.010155417523712301	surprise	11	vertexPCA_type-static
0	0.21618088127575855	anger	12	vertexPCA_type-static
1	0.12097912778261066	disgust	12	vertexPCA_type-static
2	0.09504464351123357	fear	12	vertexPCA_type-static
3	0.3413054234836826	happiness	12	vertexPCA_type-static
4	0.15609364237261633	sadness	12	vertexPCA_type-static
5	0.037640120019957105	surprise	12	vertexPCA_type-static
0	0.10022833283548138	anger	13	vertexPCA_type-static
1	0.002268121579956864	disgust	13	vertexPCA_type-static
2	-0.00338290674288706	fear	13	vertexPCA_type-static
3	0.11067326295536332	happiness	13	vertexPCA_type-static
4	-0.0028287904998039195	sadness	13	vertexPCA_type-static
5	-0.03426005566799367	surprise	13	vertexPCA_type-static
